ablation,D1,D2,D3
full method,2.7450980392156863,0.25,0.5006954102920723
no self-calibration (A0 = dataset mean),6.313725490196078,0.175,0.46870653685674546
no shape-prior correction (M5),4.450980392156863,1.125,0.4172461752433936
no foreign-object rejection,4.254901960784314,0.25,1.9986091794158554
foreign rejection without the width test,3.9019607843137254,0.25,0.6592489568845619
foreign test also requiring roundness,3.9019607843137254,0.25,0.980528511821975
touching: width excess below 4.5 px (previous rule),4.509803921568627,0.25,0.37830319888734354
no bright-background test,3.2549019607843137,0.25,0.4506258692628651
speck threshold 0.3 (previous),2.784313725490196,0.25,0.6564673157162726
no dark-region test,3.5294117647058822,0.25,0.8998609179415855
no recovery of erased grains,4.215686274509804,0.25,0.7357440890125174
touching gate: OR instead of AND,2.9019607843137254,0.075,0.741307371349096
seed pieces not merged,2.764705882352941,3.175,0.655076495132128
"seed pieces not merged, beta = 0.45",2.6470588235294117,1.775,0.655076495132128
beta = 0.05,2.7450980392156863,0.25,0.5006954102920723
beta = 0.1,2.7450980392156863,0.25,0.5006954102920723
beta = 0.15,2.7450980392156863,0.35,0.5006954102920723
beta = 0.2,2.7450980392156863,0.425,0.5006954102920723
beta = 0.3,2.7450980392156863,1.05,0.5006954102920723
beta = 0.45,2.6666666666666665,1.35,0.5006954102920723
full candidate grid,2.7450980392156863,0.25,
gray channel only,2.3333333333333335,0.25,1.0027816411682893
with 3x3 median filter,5.470588235294118,0.225,
one-sided binarisation priors,,,0.5285118219749653
no post-removal re-validation,,,1.8789986091794157
