axis,level,method,n,MAE,median_AE,bias,blowups,failures
blur,0.0,B1_components,40,22.95,25.5,-22.95,0,0
blur,0.0,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
blur,0.0,Ours_ASW_SPC,40,0.25,0.0,-0.25,0,0
blur,0.1,B1_components,40,23.025,25.5,-23.025,0,0
blur,0.1,B4_erosion_watershed,40,23.0,25.5,-23.0,0,0
blur,0.1,Ours_ASW_SPC,40,0.325,0.0,-0.325,0,0
blur,0.2,B1_components,40,156.95,26.0,113.05,2,0
blur,0.2,B4_erosion_watershed,40,175.2,26.0,131.4,2,0
blur,0.2,Ours_ASW_SPC,40,286.6,0.5,285.05,2,0
blur,0.35,B1_components,40,65.775,28.5,18.475,2,0
blur,0.35,B4_erosion_watershed,40,69.7,28.5,22.45,2,0
blur,0.35,Ours_ASW_SPC,40,77.7,2.0,72.2,2,0
blur,0.5,B1_components,40,51.8,30.0,1.05,3,0
blur,0.5,B4_erosion_watershed,40,52.9,30.0,2.15,3,0
blur,0.5,Ours_ASW_SPC,40,50.075,5.0,39.125,3,0
blur,0.7,B1_components,40,59.95,38.0,20.75,9,1
blur,0.7,B4_erosion_watershed,40,61.75,38.0,22.55,9,1
blur,0.7,Ours_ASW_SPC,40,75.2,15.0,58.95,13,1
contrast,0.08,B1_components,40,22.975,25.5,-22.975,0,0
contrast,0.08,B4_erosion_watershed,40,22.95,25.5,-22.95,0,0
contrast,0.08,Ours_ASW_SPC,40,0.225,0.0,-0.225,0,0
contrast,0.15,B1_components,40,22.925,25.5,-22.925,0,0
contrast,0.15,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
contrast,0.15,Ours_ASW_SPC,40,0.225,0.0,-0.225,0,0
contrast,0.3,B1_components,40,22.95,25.5,-22.95,0,0
contrast,0.3,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
contrast,0.3,Ours_ASW_SPC,40,0.225,0.0,-0.225,0,0
contrast,0.5,B1_components,40,22.925,25.5,-22.925,0,0
contrast,0.5,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
contrast,0.5,Ours_ASW_SPC,40,0.25,0.0,-0.25,0,0
contrast,0.7,B1_components,40,22.95,25.5,-22.95,0,0
contrast,0.7,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
contrast,0.7,Ours_ASW_SPC,40,0.25,0.0,-0.25,0,0
contrast,1.0,B1_components,40,22.95,25.5,-22.95,0,0
contrast,1.0,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
contrast,1.0,Ours_ASW_SPC,40,0.25,0.0,-0.25,0,0
noise,0.0,B1_components,40,22.95,25.5,-22.95,0,0
noise,0.0,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
noise,0.0,Ours_ASW_SPC,40,0.25,0.0,-0.25,0,0
noise,5.0,B1_components,40,22.925,25.5,-22.925,0,0
noise,5.0,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
noise,5.0,Ours_ASW_SPC,40,0.25,0.0,-0.25,0,0
noise,10.0,B1_components,40,22.975,25.5,-22.975,0,0
noise,10.0,B4_erosion_watershed,40,22.95,25.5,-22.95,0,0
noise,10.0,Ours_ASW_SPC,40,0.275,0.0,-0.275,0,0
noise,20.0,B1_components,40,22.975,25.5,-22.975,0,0
noise,20.0,B4_erosion_watershed,40,22.975,25.5,-22.975,0,0
noise,20.0,Ours_ASW_SPC,40,0.225,0.0,-0.225,0,0
noise,30.0,B1_components,40,22.95,25.5,-22.95,0,0
noise,30.0,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
noise,30.0,Ours_ASW_SPC,40,0.275,0.0,-0.275,0,0
noise,45.0,B1_components,40,22.95,25.5,-22.95,0,0
noise,45.0,B4_erosion_watershed,40,22.95,25.5,-22.95,0,0
noise,45.0,Ours_ASW_SPC,40,0.275,0.0,-0.275,0,0
resolution,1.0,B1_components,40,22.95,25.5,-22.95,0,0
resolution,1.0,B4_erosion_watershed,40,22.925,25.5,-22.925,0,0
resolution,1.0,Ours_ASW_SPC,40,0.25,0.0,-0.25,0,0
resolution,1.5,B1_components,40,23.1,25.5,-23.1,0,0
resolution,1.5,B4_erosion_watershed,40,23.0,25.5,-23.0,0,0
resolution,1.5,Ours_ASW_SPC,40,0.5,0.0,-0.45,0,0
resolution,2.0,B1_components,40,23.2,25.5,-23.2,0,0
resolution,2.0,B4_erosion_watershed,40,23.05,25.5,-23.05,0,0
resolution,2.0,Ours_ASW_SPC,40,0.825,0.0,-0.775,0,0
resolution,3.0,B1_components,40,23.875,25.5,-23.875,0,0
resolution,3.0,B4_erosion_watershed,40,23.5,25.5,-23.5,0,0
resolution,3.0,Ours_ASW_SPC,40,1.825,1.0,-1.425,0,0
resolution,4.5,B1_components,40,25.05,27.0,-25.05,0,0
resolution,4.5,B4_erosion_watershed,40,23.8,26.0,-23.8,0,0
resolution,4.5,Ours_ASW_SPC,40,2.525,1.0,-0.925,0,0
resolution,6.0,B1_components,40,26.0,28.0,-26.0,0,0
resolution,6.0,B4_erosion_watershed,40,23.175,25.0,-23.175,0,0
resolution,6.0,Ours_ASW_SPC,40,3.7,2.0,-1.2,0,0
