prompt,threshold,MAE,MAPE_%,bias,worst
rice grain,0.15,8.705882352941176,9.442241926084744,2.9411764705882355,116.0
rice grain,0.2,6.411764705882353,6.524446352253143,-1.4705882352941178,116.0
rice grain,0.25,8.117647058823529,7.777375366374834,-4.9411764705882355,116.0
rice grain,0.3,13.450980392156863,12.750433225701993,-11.254901960784315,124.0
rice grain,0.35,28.41176470588235,28.267810168140528,-26.607843137254903,124.0
rice grain,0.4,51.78431372549019,52.84993116378662,-50.1764705882353,124.0
grain,0.15,18.862745098039216,21.153407810004147,18.862745098039216,35.0
grain,0.2,9.03921568627451,10.252946237110736,8.764705882352942,24.0
grain,0.25,4.686274509803922,5.334426548694713,3.627450980392157,16.0
grain,0.3,3.627450980392157,4.062499866674329,1.5098039215686274,11.0
grain,0.35,3.607843137254902,3.8931777667015792,0.1568627450980392,24.0
grain,0.4,4.529411764705882,4.6604376477537475,-1.4705882352941178,64.0
white rice grain,0.15,18.098039215686274,20.75234465192389,17.823529411764707,36.0
white rice grain,0.2,10.0,11.123886064088989,6.745098039215686,76.0
white rice grain,0.25,7.1568627450980395,7.612987161279025,1.5098039215686274,116.0
white rice grain,0.3,5.921568627450981,6.105690726169267,-0.6274509803921569,116.0
white rice grain,0.35,5.882352941176471,5.9074122675488825,-2.2745098039215685,116.0
white rice grain,0.4,6.705882352941177,6.57627776292389,-3.8823529411764706,116.0
