dataset,method,stratum,n,MAE,MAPE_%,accuracy_%,R2,hit_pm1_%,hit_pm2_%,worst,bias
d1,B1_components,all,51,6.313725490196078,6.746898168293332,93.25310183170666,0.5511650868878357,7.8431372549019605,11.76470588235294,19.0,-3.372549019607843
d1,B2_area,all,51,22.764705882352942,25.27824425782748,74.72175574217252,-5.324140995260663,5.88235294117647,7.8431372549019605,87.0,21.627450980392158
d1,B3_dist_watershed,all,51,74.90196078431373,82.23303141813729,17.76696858186272,-54.10329778830963,0.0,0.0,123.0,-73.6078431372549
d1,B4_erosion_watershed,all,51,5.450980392156863,5.787554377962721,94.21244562203728,0.568957345971564,13.725490196078432,29.411764705882355,26.0,-1.2941176470588236
d1,B5_concave_ellipse,all,51,18.941176470588236,20.218580952951047,79.78141904704896,-3.471563981042654,0.0,0.0,78.0,18.823529411764707
d1,Ours_ASW_SPC,all,51,2.7450980392156863,3.0328494639422523,96.96715053605774,0.8556477093206951,41.17647058823529,62.745098039215684,18.0,-0.23529411764705882
d2,B1_components,all,40,22.95,32.06419998656275,67.93580001343726,-1.8659910431984872,20.0,20.0,51.0,-22.95
d2,B1_components,touch=0.0,8,0.25,0.41442048517520214,99.5855795148248,0.9986576055038174,100.0,100.0,1.0,-0.25
d2,B1_components,touch=0.2,8,12.5,19.855771966114155,80.14422803388584,0.4152450874541136,0.0,0.0,19.0,-12.5
d2,B1_components,touch=0.4,8,27.625,37.910520655186694,62.089479344813306,-2.09818092729834,0.0,0.0,37.0,-27.625
d2,B1_components,touch=0.6,8,35.5,47.006113485610804,52.99388651438919,-4.435736677115988,0.0,0.0,51.0,-35.5
d2,B1_components,touch=0.8,8,38.875,55.13417334072687,44.86582665927313,-5.121212121212121,0.0,0.0,51.0,-38.875
d2,B2_area,all,40,2.3,3.3147031205793867,96.68529687942062,0.9452948975901939,52.5,75.0,18.0,-1.35
d2,B2_area,touch=0.0,8,1.125,1.5909925440441315,98.40900745595587,0.9912744357748133,75.0,100.0,2.0,-0.375
d2,B2_area,touch=0.2,8,1.125,1.932446687370469,98.06755331262953,0.9935219175124164,62.5,100.0,2.0,-0.625
d2,B2_area,touch=0.4,8,2.25,3.3501297940199333,96.64987020598006,0.9745207325289398,25.0,50.0,4.0,-0.75
d2,B2_area,touch=0.6,8,2.5,3.217276804255135,96.78272319574486,0.9456635318704284,50.0,62.5,8.0,-2.25
d2,B2_area,touch=0.8,8,4.5,6.482669773207264,93.51733022679274,0.8062514912908614,50.0,62.5,18.0,-2.75
d2,B3_dist_watershed,all,40,8.2,11.365775205021718,88.63422479497828,0.6076067908503398,20.0,22.5,24.0,-8.2
d2,B3_dist_watershed,touch=0.0,8,0.0,0.0,100.0,1.0,100.0,100.0,0.0,0.0
d2,B3_dist_watershed,touch=0.2,8,4.5,7.566595837989662,92.43340416201033,0.9248542431440294,0.0,12.5,6.0,-4.5
